Timestamp,CanID,DLC,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,Flag
1513920236.609048,034C,8,EA,9E,0F,FE,03,FC,00,0C,R
1513920236.609439,00AA,8,2B,DD,2C,56,40,53,AA,00,R
1513920236.609670,019D,8,83,2C,3C,D2,00,0C,98,7F,R
1513920236.610296,00C9,8,84,0D,3E,0D,00,00,18,00,R
1513920236.610538,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.610771,018E,8,00,00,00,69,B6,9B,06,9B,R
1513920236.611010,01E5,8,5C,00,90,10,00,00,01,38,R
1513920236.611246,0191,8,06,9B,06,AB,06,9B,00,00,R
1513920236.611490,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.615860,0135,8,00,00,1F,02,0C,11,00,00,R
1513920236.616282,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.616514,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.617345,01E9,8,00,0C,00,0E,0F,FE,00,00,R
1513920236.617593,0232,8,00,00,00,20,00,00,00,00,R
1513920236.620218,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.620644,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.621908,00AA,8,2B,DD,2C,56,42,53,A9,00,R
1513920236.622375,00C9,8,84,0D,3B,00,00,00,18,00,R
1513920236.622613,018E,8,00,00,00,69,B6,9B,06,9B,R
1513920236.623070,0191,8,06,9B,06,AB,06,9B,00,00,R
1513920236.623837,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.624081,01C3,8,06,9B,06,9B,FF,D0,00,00,R
1513920236.624333,01C4,8,00,62,C0,30,00,00,00,00,R
1513920236.624968,02C3,8,07,49,06,86,00,00,50,00,R
1513920236.625216,03C1,8,07,65,F7,00,00,00,00,00,R
1513920236.625466,03D1,8,00,3D,80,00,00,17,00,00,R
1513920236.625712,03D3,8,80,00,20,00,3F,FF,5E,00,R
1513920236.626098,0137,8,00,00,00,00,00,00,00,00,R
1513920236.626331,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.626564,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.627036,03E9,8,00,00,03,EE,00,00,16,02,R
1513920236.627275,03F9,8,00,A7,49,80,5F,86,FF,38,R
1513920236.627649,03FC,8,40,59,0A,6E,6E,00,6E,6E,R
1513920236.627891,04C1,8,00,CC,89,5E,52,08,00,00,R
1513920236.630244,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.633097,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.633927,019D,8,C3,2C,3C,D1,00,0C,95,7F,R
1513920236.634356,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.634586,00AA,8,2B,E2,2C,59,44,53,A5,00,R
1513920236.634830,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.635279,00C9,8,84,0D,2F,07,00,00,18,00,R
1513920236.635517,018E,8,00,00,00,69,B6,9B,06,9B,R
1513920236.635761,0191,8,06,9B,06,AB,06,9B,00,00,R
1513920236.636010,0139,8,00,00,00,00,00,00,00,00,R
1513920236.636242,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.636478,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.637303,01E9,8,00,10,00,0E,0F,FD,00,00,R
1513920236.637552,0232,8,00,00,00,20,00,00,00,00,R
1513920236.640220,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.645599,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.646163,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.646399,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.646919,00AA,8,2B,E3,2C,59,46,53,A4,00,R
1513920236.647380,00C9,8,84,0D,2C,0A,00,00,18,00,R
1513920236.647618,018E,8,00,00,00,69,B6,9B,06,9B,R
1513920236.648075,0191,8,06,9B,06,AB,06,9B,00,00,R
1513920236.648658,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.648885,01C3,8,06,9B,06,9B,FF,E0,00,03,R
1513920236.649131,01C4,8,27,62,C0,30,02,00,07,FF,R
1513920236.649771,04D1,8,00,00,31,01,00,FB,00,00,R
1513920236.650011,04F1,8,41,35,01,35,01,01,00,00,R
1513920236.650249,01E5,8,5C,00,90,10,00,00,01,38,R
