Label,Time,ID,Signal_1_of_ID,Signal_2_of_ID,Signal_3_of_ID,Signal_4_of_ID,Signal_5_of_ID,Signal_6_of_ID,Signal_7_of_ID,Signal_8_of_ID,Signal_9_of_ID,Signal_10_of_ID,Signal_11_of_ID,Signal_12_of_ID,Signal_13_of_ID,Signal_14_of_ID,Signal_15_of_ID,Signal_16_of_ID,Signal_17_of_ID,Signal_18_of_ID,Signal_19_of_ID,Signal_20_of_ID,Signal_21_of_ID,Signal_22_of_ID
0,0.0,192,1,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,0.00102996826171875,1176,4095,4095.0,39.0,1219.0,14.0,,,,,,,,,,,,,,,,,
0,0.001032114028930664,519,0,1.0,1.0,1.0,1.0,344.0,-5.0,0.0,1.0,1.0,35.0,,,,,,,,,,,
0,0.0010330677032470703,1225,484,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,
0,0.0010340213775634766,470,0,1.0,7.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,
0,0.002043008804321289,560,-10,0.0,93.0,9.0,,,,,,,,,,,,,,,,,,
0,0.0020449161529541016,737,0,1.0,,,,,,,,,,,,,,,,,,,,
0,0.0030438899993896484,852,32659,0.0,232.0,5.0,,,,,,,,,,,,,,,,,,
0,0.0030460357666015625,1505,511,2.0,3.0,1.0,0.0,32809.0,,,,,,,,,,,,,,,,
0,0.0030469894409179688,354,0,32809.0,501.0,500.0,0.0,1.0,-2.0,,,,,,,,,,,,,,,
0,0.003047943115234375,167,0,0.0,0.0,0.0,500.0,1.0,590.0,642.0,0.0,,,,,,,,,,,,,
0,0.004069089889526367,675,0,0.0,0.0,0.0,2.0,0.0,532.0,2.0,120.0,2.0,0.0,0.0,,,,,,,,,,
0,0.005096912384033203,293,0,0.0,259.0,253.0,1.0,-5.0,11.0,,,,,,,,,,,,,,,
0,0.0060939788818359375,1760,1057,1042.0,1056.0,1057.0,,,,,,,,,,,,,,,,,,
0,0.006094932556152344,14,75,1.0,15171.0,,,,,,,,,,,,,,,,,,,
0,0.007038116455078125,263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,0.008116960525512695,208,5,635.0,1.0,0.0,49.0,1218.0,0.0,,,,,,,,,,,,,,,
0,0.00811910629272461,51,0,-45.0,0.0,3.0,5.0,36.0,125.0,,,,,,,,,,,,,,,
0,0.011960029602050781,852,32659,0.0,232.0,5.0,,,,,,,,,,,,,,,,,,
0,0.012993097305297852,1505,511,2.0,3.0,1.0,0.0,32808.0,,,,,,,,,,,,,,,,
0,0.012995004653930664,651,0,0.0,,,,,,,,,,,,,,,,,,,,
0,0.01299595832824707,1788,0,0.0,0.0,15167.0,1.0,1.0,1623.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,0.012996912002563477,167,0,0.0,0.0,0.0,499.0,1.0,589.0,642.0,0.0,,,,,,,,,,,,,
0,0.013961076736450195,569,582,0.0,0.0,559.0,0.0,,,,,,,,,,,,,,,,,
0,0.013962030410766602,215,0,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
0,0.014970064163208008,1694,2,127.0,127.0,0.0,170.0,1.0,,,,,,,,,,,,,,,,
0,0.01497197151184082,293,0,0.0,259.0,253.0,1.0,-6.0,12.0,,,,,,,,,,,,,,,
0,0.01597309112548828,14,75,1.0,15165.0,,,,,,,,,,,,,,,,,,,
0,0.015974044799804688,403,0,128.0,1.0,,,,,,,,,,,,,,,,,,,
0,0.015974998474121094,526,2048,1211.0,510.0,510.0,,,,,,,,,,,,,,,,,,
0,0.0170290470123291,961,1,0.0,235.0,47.0,103.0,,,,,,,,,,,,,,,,,
0,0.017030954360961914,1314,0,-11.0,10.0,0.0,,,,,,,,,,,,,,,,,,
0,0.01703190803527832,870,512,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,
0,0.017033100128173828,1408,117,10.0,32768.0,,,,,,,,,,,,,,,,,,,
0,0.01802992820739746,1076,7509,74.0,92.0,27.0,140.0,,,,,,,,,,,,,,,,,
0,0.018032073974609375,1760,1057,1044.0,1057.0,1055.0,,,,,,,,,,,,,,,,,,
0,0.01803302764892578,339,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
0,0.018033981323242188,661,1,1.0,,,,,,,,,,,,,,,,,,,,
0,0.019071102142333984,1634,635,1.0,,,,,,,,,,,,,,,,,,,,
0,0.01907491683959961,412,3,0.0,81.0,32808.0,657.0,,,,,,,,,,,,,,,,,
0,0.019077062606811523,208,6,635.0,1.0,0.0,48.0,1218.0,0.0,,,,,,,,,,,,,,,
0,0.01907801628112793,51,0,-46.0,0.0,3.0,6.0,36.0,125.0,,,,,,,,,,,,,,,
0,0.019078969955444336,628,0,0.0,15.0,0.0,3.0,0.0,-4.0,0.0,0.0,0.0,4.0,31.0,2.0,0.0,1.0,233.0,,,,,,
0,0.02007293701171875,192,1,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,0.020075082778930664,1644,1,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,,
0,0.020076990127563477,1176,4095,4095.0,37.0,1220.0,15.0,,,,,,,,,,,,,,,,,
0,0.021075010299682617,1277,1,1.0,56.0,1.0,590.0,37.0,1.0,22.0,148.0,2.0,,,,,,,,,,,,
0,0.021078109741210938,1331,8,,,,,,,,,,,,,,,,,,,,,
0,0.021079063415527344,560,-11,0.0,93.0,10.0,,,,,,,,,,,,,,,,,,
0,0.0220949649810791,737,0,1.0,,,,,,,,,,,,,,,,,,,,
0,0.023047924041748047,852,32659,0.0,230.0,7.0,,,,,,,,,,,,,,,,,,
0,0.02305006980895996,1505,511,2.0,3.0,1.0,0.0,32808.0,,,,,,,,,,,,,,,,
0,0.023051023483276367,354,0,32809.0,501.0,500.0,0.0,1.0,-2.0,,,,,,,,,,,,,,,
0,0.023051977157592773,167,0,0.0,0.0,0.0,500.0,1.0,590.0,642.0,0.0,,,,,,,,,,,,,
0,0.02305293083190918,1175,0,0.0,,,,,,,,,,,,,,,,,,,,
0,0.02431201934814453,293,0,0.0,259.0,253.0,1.0,-7.0,13.0,,,,,,,,,,,,,,,
0,0.02538609504699707,692,20,60118.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,
0,0.026356935501098633,14,75,1.0,15159.0,,,,,,,,,,,,,,,,,,,
0,0.026359081268310547,1760,1050,1043.0,1056.0,1056.0,,,,,,,,,,,,,,,,,,
0,0.026360034942626953,738,0,3.0,1.0,0.0,-352.0,1.0,140.0,,,,,,,,,,,,,,,
0,0.02636098861694336,263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,0.02737593650817871,186,106,8255.0,0.0,1.0,0.0,0.0,106.0,0.0,,,,,,,,,,,,,,
0,0.027376890182495117,837,1,0.0,4.0,-1.0,0.0,1.0,29.0,,,,,,,,,,,,,,,
0,0.027378082275390625,1072,0,78.0,1.0,1.0,1643.0,0.0,0.0,1.0,,,,,,,,,,,,,,
0,0.02835392951965332,208,7,635.0,1.0,0.0,46.0,1219.0,0.0,,,,,,,,,,,,,,,
0,0.028357982635498047,51,0,-47.0,0.0,3.0,7.0,36.0,125.0,,,,,,,,,,,,,,,
0,0.028358936309814453,304,0,23.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
0,0.03187894821166992,852,32659,0.0,229.0,8.0,,,,,,,,,,,,,,,,,,
0,0.03291893005371094,1505,511,2.0,3.0,1.0,0.0,32808.0,,,,,,,,,,,,,,,,
0,0.03292107582092285,651,0,0.0,,,,,,,,,,,,,,,,,,,,
0,0.03292202949523926,167,0,0.0,0.0,0.0,502.0,1.0,590.0,642.0,0.0,,,,,,,,,,,,,
0,0.032922983169555664,722,0,0.0,4.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,,,,,,
0,0.03388810157775879,1372,2,0.0,0.0,27.0,65.0,65.0,-2.0,0.0,0.0,,,,,,,,,,,,,
0,0.034895896911621094,1694,2,127.0,127.0,0.0,170.0,1.0,,,,,,,,,,,,,,,,
0,0.03489804267883301,293,0,0.0,259.0,253.0,1.0,-8.0,14.0,,,,,,,,,,,,,,,
0,0.035917043685913086,403,0,128.0,1.0,,,,,,,,,,,,,,,,,,,
0,0.03591799736022949,14,75,1.0,15165.0,,,,,,,,,,,,,,,,,,,
0,0.0359189510345459,526,2048,1214.0,510.0,511.0,,,,,,,,,,,,,,,,,,
0,0.036917924880981445,1314,0,-12.0,11.0,0.0,,,,,,,,,,,,,,,,,,
0,0.03691911697387695,870,513,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,
0,0.03692007064819336,1408,116,11.0,32768.0,,,,,,,,,,,,,,,,,,,
0,0.036921024322509766,1076,7765,79.0,96.0,31.0,145.0,,,,,,,,,,,,,,,,,
0,0.037921905517578125,1760,1048,1046.0,1056.0,1056.0,,,,,,,,,,,,,,,,,,
0,0.03792405128479004,778,0,1.0,216.0,0.0,0.0,3.0,10966.0,0.0,1.0,,,,,,,,,,,,,
0,0.03793001174926758,1255,20,124.0,,,,,,,,,,,,,,,,,,,,
0,0.037930965423583984,339,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
0,0.03896903991699219,1634,635,1.0,,,,,,,,,,,,,,,,,,,,
0,0.038969993591308594,1668,19,215.0,481.0,1.0,413.0,15.0,,,,,,,,,,,,,,,,
0,0.038970947265625,1590,78,1017.0,480.0,85.0,0.0,,,,,,,,,,,,,,,,,
