Label,Time,ID,Signal_1_of_ID,Signal_2_of_ID,Signal_3_of_ID,Signal_4_of_ID,Signal_5_of_ID,Signal_6_of_ID,Signal_7_of_ID,Signal_8_of_ID,Signal_9_of_ID,Signal_10_of_ID,Signal_11_of_ID,Signal_12_of_ID,Signal_13_of_ID,Signal_14_of_ID,Signal_15_of_ID,Signal_16_of_ID,Signal_17_of_ID,Signal_18_of_ID,Signal_19_of_ID,Signal_20_of_ID,Signal_21_of_ID,Signal_22_of_ID
0,0.0,51,0,-16.0,0.0,3.0,12.0,0.0,125.0,,,,,,,,,,,,,,,
0,9.5367431640625e-07,354,0,32768.0,501.0,500.0,0.0,1.0,-2.0,,,,,,,,,,,,,,,
0,1.9073486328125e-06,167,1,0.0,0.0,0.0,500.0,0.0,589.0,604.0,0.0,,,,,,,,,,,,,
0,0.0009970664978027344,813,0,0.0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,0.002017974853515625,1398,-1,0.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,
0,0.005084037780761719,403,0,110.0,1.0,,,,,,,,,,,,,,,,,,,
0,0.006082057952880859,526,2049,0.0,509.0,511.0,,,,,,,,,,,,,,,,,,
0,0.006083011627197266,1314,284,-36.0,6.0,315.0,,,,,,,,,,,,,,,,,,
0,0.006083965301513672,870,511,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,
0,0.006084918975830078,1408,121,6.0,32768.0,,,,,,,,,,,,,,,,,,,
0,0.007069110870361328,1076,7509,47.0,47.0,48.0,48.0,,,,,,,,,,,,,,,,,
0,0.007070064544677734,1760,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
0,0.007071018218994141,1176,4095,4095.0,241.0,0.0,11.0,,,,,,,,,,,,,,,,,
0,0.007071971893310547,560,-36,284.0,90.0,6.0,,,,,,,,,,,,,,,,,,
0,0.008090019226074219,339,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,
0,0.008090972900390625,852,32765,0.0,126.0,5.0,,,,,,,,,,,,,,,,,,
0,0.009113073348999023,14,74,1.0,15048.0,,,,,,,,,,,,,,,,,,,
0,0.00911402702331543,1505,511,2.0,3.0,1.0,0.0,32768.0,,,,,,,,,,,,,,,,
0,0.009114980697631836,1694,2,126.0,127.0,0.0,168.0,1.0,,,,,,,,,,,,,,,,
0,0.009115934371948242,293,0,0.0,253.0,235.0,1.0,23.0,8.0,,,,,,,,,,,,,,,
0,0.010133028030395508,661,1,1.0,,,,,,,,,,,,,,,,,,,,
0,0.010133981704711914,1634,609,1.0,,,,,,,,,,,,,,,,,,,,
0,0.01013493537902832,651,0,0.0,,,,,,,,,,,,,,,,,,,,
0,0.010135889053344727,412,6,1.0,4.0,32878.0,626.0,,,,,,,,,,,,,,,,,
0,0.011135101318359375,208,13,609.0,1.0,0.0,239.0,0.0,0.0,,,,,,,,,,,,,,,
0,0.011136054992675781,51,0,-17.0,0.0,3.0,13.0,0.0,125.0,,,,,,,,,,,,,,,
0,0.011137962341308594,628,0,0.0,15.0,0.0,6.0,1.0,-8.0,1.0,0.0,0.0,4.0,31.0,2.0,0.0,1.0,348.0,,,,,,
0,0.011138916015625,192,1,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,0.012187957763671875,167,1,0.0,0.0,0.0,500.0,0.0,589.0,604.0,0.0,,,,,,,,,,,,,
0,0.012188911437988281,61,0,85.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
0,0.01321101188659668,1227,0,,,,,,,,,,,,,,,,,,,,,
0,0.013211965560913086,640,0,3.0,-1.0,7.0,0.0,,,,,,,,,,,,,,,,,
0,0.013212919235229492,961,1,0.0,240.0,195.0,206.0,,,,,,,,,,,,,,,,,
0,0.01322793960571289,60,1,49.0,,,,,,,,,,,,,,,,,,,,
