Label,Time,ID,Signal1_of_ID,Signal2_of_ID,Signal3_of_ID,Signal4_of_ID
0,63006572.03,id1,0.336596917,0.75,,
0,63006573.83,id6,1,0.777777778,,
0,63006575.41,id10,0.345212208,0.888888889,0.999195502,0.230686247
0,63006575.85,id9,0.343204027,,,
0,63006577.42,id4,0.112,,,
0,63006577.58,id3,0,0.960552506,,
0,63006578.91,id5,0.166867696,0.999368941,,
0,63006580.04,id7,0.113313457,1,,
0,63006580.96,id2,0.039447494,0.341669317,0.287549481,
0,63006582.75,id8,0.29344964,,,
0,63006587.03,id1,0.33762789,1,,
0,63006592.58,id3,0.2,0.958562036,,
0,63006593.91,id5,0.167432523,0.999368941,,
0,63006595.04,id7,0.115333478,0,,
0,63006597.75,id8,0.293961754,,,
0,63006602.03,id1,0.338698887,0,,
0,63006603.83,id6,1,0.888888889,,
0,63006605.85,id9,0.345276873,,,
0,63006607.58,id3,0.4,0.958562036,,
0,63006608.91,id5,0.167875719,0.999368941,,
0,63006610.04,id7,0.115468303,0.25,,
0,63006610.96,id2,0.041437964,0.34386061,0.288561698,
0,63006612.75,id8,0.294473867,,,
0,63006617.03,id1,0.339799957,0.25,,
0,63006620.41,id10,0.347392691,1,0.999195502,0.233930864
0,63006622.42,id4,0.1128,,,
0,63006622.58,id3,0.6,0.956511249,,
0,63006623.91,id5,0.168385432,0.999368941,,
0,63006625.04,id7,0.117500811,0.5,,
0,63006627.75,id8,0.294815276,,,
0,63006632.03,id1,0.34091105,0.5,,
0,63006633.83,id6,1,1,,
0,63006635.85,id9,0.348534202,,,
0,63006637.58,id3,0.8,0.956511249,,
0,63006638.91,id5,0.169025897,0.999368941,,
0,63006640.04,id7,0.11754579,0.75,,
0,63006640.96,id2,0.043488751,0.346112444,0.289067828,
0,63006642.75,id8,0.294985981,,,
0,63006647.03,id1,0.342032167,0.75,,
0,63006652.58,id3,1,0.954460462,,
0,63006653.91,id5,0.169365673,0.999368941,,
0,63006655.04,id7,0.119578486,1,,
0,63006657.75,id8,0.29532739,,,
0,63006662.03,id1,0.343243357,1,,
0,63006663.83,id6,1,0,,
0,63006665.41,id10,0.353337715,0.111111111,0.999195502,0.240583035
0,63006665.85,id9,0.351199289,,,
0,63006667.42,id4,0.11368,,,
0,63006667.58,id3,0,0.954460462,,
0,63006668.91,id5,0.169847588,0.999368941,,
0,63006670.04,id7,0.119713536,0,,
0,63006670.96,id2,0.045539538,0.348616557,0.289911413,
0,63006672.75,id8,0.295839504,,,
0,63006677.03,id1,0.34451462,0,,
0,63006682.58,id3,0.2,0.952349358,,
0,63006683.91,id5,0.170462519,0.999368941,,
0,63006685.04,id7,0.121938805,0.25,,
0,63006687.75,id8,0.296693026,,,
0,63006692.03,id1,0.34580586,0.25,,
0,63006693.83,id6,1,0.111111111,,
0,63006695.85,id9,0.353864377,,,
0,63006697.58,id3,0.4,0.952349358,,
0,63006698.91,id5,0.171015495,0.999368941,,
0,63006700.04,id7,0.122164082,0.5,,
0,63006700.96,id2,0.047650642,0.351231497,0.291598706,
0,63006702.75,id8,0.297546549,,,
0,63006707.03,id1,0.347107124,0.5,,
0,63006710.41,id10,0.356012976,0.222222222,0.999195502,0.244628969
0,63006712.42,id4,0.11464,,,
0,63006712.58,id3,0.6,0.950117619,,
0,63006713.91,id5,0.171451384,0.999368941,,
0,63006715.04,id7,0.124504249,0.75,,
0,63006717.75,id8,0.298400072,,,
0,63006722.03,id1,0.348458436,0.75,,
0,63006723.83,id6,1,0.222222222,,
0,63006725.85,id9,0.355493041,,,
0,63006727.58,id3,0.8,0.950117619,,
0,63006728.91,id5,0.171894115,0.999368941,,
0,63006730.04,id7,0.12472973,1,,
0,63006730.96,id2,0.049882381,0.353987638,0.293286165,
0,63006732.75,id8,0.299253594,,,
0,63006737.03,id1,0.34983982,1,,
0,63006742.58,id3,1,0.947644611,,
0,63006743.91,id5,0.172339126,0.999368941,,
0,63006745.04,id7,0.127299192,0,,
0,63006747.75,id8,0.300107117,,,
0,63006752.03,id1,0.351231227,0,,
0,63006753.83,id6,1,0.333333333,,
0,63006755.41,id10,0.358539611,0.444444444,0.999195502,0.248653819
0,63006755.85,id9,0.356381404,,,
0,63006757.42,id4,0.11512,,,
0,63006757.58,id3,0,0.947644611,,
0,63006758.91,id5,0.172850637,0.999368941,,
0,63006760.28,id7,0.127524899,0.25,,
0,63006760.96,id2,0.052355389,0.356804147,0.29497379,
0,63006762.75,id8,0.30096064,,,
0,63006767.03,id1,0.352632588,0.25,,
0,63006772.58,id3,0.2,0.944870016,,
0,63006773.91,id5,0.173483779,0.999368941,,
0,63006775.28,id7,0.130380947,0.5,,
0,63006777.75,id8,0.301814163,,,
0,63006782.03,id1,0.354003878,0.5,,
0,63006783.83,id6,1,0.444444444,,
0,63006785.85,id9,0.357417826,,,
0,63006787.58,id3,0.4,0.944870016,,
0,63006788.91,id5,0.174234008,0.999368941,,
0,63006790.28,id7,0.130606908,0.75,,
0,63006790.96,id2,0.055129984,0.359519354,0.296661581,
0,63006792.75,id8,0.302667685,,,
0,63006797.03,id1,0.355325119,0.75,,
0,63006800.41,id10,0.35957999,0.555555556,0.999195502,0.251314956
0,63006802.42,id4,0.11632,,,
0,63006802.58,id3,0.6,0.942095422,,
0,63006803.91,id5,0.175030261,0.999368941,,
0,63006805.28,id7,0.133418475,1,,
0,63006807.75,id8,0.303350503,,,
0,63006812.03,id1,0.35656631,1,,
0,63006813.83,id6,1,0.555555556,,
0,63006815.85,id9,0.35860231,,,
0,63006817.58,id3,0.8,0.942095422,,
0,63006818.91,id5,0.17594132,0.999368941,,
0,63006820.28,id7,0.133599447,0,,
0,63006820.96,id2,0.057904578,0.361961887,0.298011933,
0,63006822.75,id8,0.304033322,,,
0,63006827.03,id1,0.357747429,0,,
0,63006832.58,id3,1,0.939320828,,
0,63006833.91,id5,0.17690523,0.999368941,,
0,63006835.28,id7,0.136411624,0.25,,
0,63006837.75,id8,0.30471614,,,
0,63006842.03,id1,0.358878499,0.25,,
0,63006843.83,id6,1,0.666666667,,
0,63006845.41,id10,0.36220635,0.777777778,0.999195502,0.254963223
0,63006845.85,id9,0.359934853,,,
0,63006847.42,id4,0.11864,,,
0,63006847.58,id3,0,0.939320828,,
0,63006848.91,id5,0.178039092,0.999368941,,
0,63006850.28,id7,0.136547505,0.5,,
0,63006850.96,id2,0.060679172,0.364141907,0.299193578,
0,63006852.75,id8,0.305228253,,,
0,63006857.03,id1,0.359909543,0.5,,
0,63006862.58,id3,0.2,0.93660655,,
0,63006863.91,id5,0.178957458,0.999368941,,
0,63006865.28,id7,0.139348376,0.75,,
0,63006867.75,id8,0.306081776,,,
0,63006872.03,id1,0.360840418,0.75,,
0,63006873.83,id6,1,0.777777778,,
0,63006875.85,id9,0.361415458,,,
0,63006877.58,id3,0.4,0.93660655,,
0,63006878.91,id5,0.179561485,0.999368941,,
0,63006880.28,id7,0.139620438,1,,
0,63006880.96,id2,0.06339345,0.366049286,0.301050613,
0,63006882.75,id8,0.307106003,,,
0,63006887.03,id1,0.361801366,1,,
0,63006890.41,id10,0.363692606,0.888888889,0.999195502,0.25750634
0,63006892.42,id4,0.12112,,,
0,63006892.58,id3,0.6,0.933651004,,
0,63006893.91,id5,0.179456636,0.999368941,,
0,63006895.28,id7,0.142696386,0,,
0,63006897.75,id8,0.30813023,,,
0,63006902.03,id1,0.362752289,0,,
0,63006903.83,id6,1,0.888888889,,
0,63006905.85,id9,0.362896062,,,
0,63006907.58,id3,0.8,0.933651004,,
0,63006909.07,id5,0.179090282,0.999368941,,
0,63006910.28,id7,0.142968773,0.25,,
0,63006910.96,id2,0.066348996,0.367946454,0.303076698,
0,63006912.75,id8,0.309154458,,,
0,63006917.03,id1,0.363683165,0.25,,
0,63006922.58,id3,1,0.930635141,,
0,63006924.07,id5,0.178776794,0.999368941,,
0,63006925.28,id7,0.146102931,0.5,,
0,63006927.75,id8,0.310178685,,,
0,63006932.03,id1,0.364564063,0.5,,
0,63006933.83,id6,1,1,,
0,63006935.41,id10,0.366665118,0,0.999195502,0.261227101
0,63006935.85,id9,0.364376666,,,
0,63006937.42,id4,0.11936,,,
0,63006937.58,id3,0,0.930635141,,
0,63006939.07,id5,0.178522981,0.999368941,,
0,63006940.28,id7,0.146375649,0.75,,
0,63006940.96,id2,0.069364859,0.369702334,0.305103023,
0,63006942.75,id8,0.311202912,,,
0,63006947.03,id1,0.365424913,0.75,,
0,63006952.58,id3,0.2,0.927619277,,
0,63006954.07,id5,0.178521568,0.999368941,,
0,63006955.28,id7,0.149510801,1,,
0,63006957.75,id8,0.312227139,,,
0,63006962.03,id1,0.366265786,1,,
0,63006963.83,id6,1,0,,
0,63006965.85,id9,0.364968907,,,
0,63006967.58,id3,0.4,0.927619277,,
0,63006969.07,id5,0.178903275,0.999368941,,
0,63006970.28,id7,0.14978385,0,,
0,63006970.96,id2,0.072380723,0.371387464,0.307129586,
0,63006972.75,id8,0.313251367,,,
0,63006977.03,id1,0.367096565,0,,
0,63006980.41,id10,0.367359345,0.111111111,0.999195502,0.26287222
0,63006982.42,id4,0.1188,,,
0,63006982.58,id3,0.6,0.924603414,,
0,63006984.07,id5,0.179289542,0.999047005,,
0,63006985.28,id7,0.152919996,0.25,,
0,63006987.75,id8,0.314275594,,,
0,63006992.03,id1,0.367947391,0.25,,
0,63006993.83,id6,1,0.111111111,,
0,63006995.85,id9,0.366893693,,,
0,63006997.58,id3,0.8,0.924603414,,
0,63006999.07,id5,0.179797456,0.999047005,,
0,63007000.28,id7,0.153193377,0.5,,
0,63007000.96,id2,0.075396586,0.373072511,0.309156387,
