Label,Time,ID,Signal1,Signal2,Signal3,Signal4
0,63025013.1,id3,1,1,,
0,63025015.72,id7,0.057084053,0.75,,
0,63025016.36,id5,0.227989505,0.999368941,,
0,63025019.87,id8,0.220379562,,,
0,63025023.83,id6,1,0.222222222,,
0,63025025.41,id10,0.324944458,0.333333333,0.999195502,0.231079627
0,63025025.5,id1,0.374763954,0.75,,
0,63025025.85,id9,0.323808114,,,
0,63025027.42,id4,0.17776,,,
0,63025028.1,id3,0,1,,
0,63025030.72,id7,0.05703987,1,,
0,63025030.96,id2,0,0.379034857,0.215490319,
0,63025031.36,id5,0.229127527,0.999368941,,
0,63025034.87,id8,0.220208857,,,
0,63025040.5,id1,0.374683834,1,,
0,63025043.1,id3,0.2,1,,
0,63025045.72,id7,0.056995688,0,,
0,63025046.36,id5,0.230281494,0.999368941,,
0,63025049.87,id8,0.220038152,,,
0,63025053.83,id6,1,0.333333333,,
0,63025055.5,id1,0.374673811,0,,
0,63025055.85,id9,0.324844537,,,
0,63025058.1,id3,0.4,1,,
0,63025060.72,id7,0.056951505,0.25,,
0,63025060.96,id2,0,0.379004551,0.215154347,
0,63025061.36,id5,0.231240473,0.999368941,,
0,63025064.87,id8,0.219867448,,,
0,63025070.41,id10,0.325984837,0.444444444,0.999195502,0.231908009
0,63025070.5,id1,0.374653763,0.25,,
0,63025072.42,id4,0.18184,,,
0,63025073.1,id3,0.6,1,,
0,63025075.72,id7,0.056907322,0.5,,
0,63025076.36,id5,0.232073261,0.999368941,,
0,63025079.87,id8,0.219696743,,,
0,63025083.83,id6,1,0.444444444,,
0,63025085.5,id1,0.374643739,0.5,,
0,63025085.85,id9,0.323363932,,,
0,63025088.1,id3,0.8,1,,
0,63025090.72,id7,0.05686314,0.75,,
0,63025090.96,id2,0,0.379024755,0.214818381,
0,63025091.36,id5,0.232850934,0.999368941,,
0,63025094.87,id8,0.219526039,,,
0,63025100.5,id1,0.374673811,0.75,,
0,63025103.1,id3,1,1,,
0,63025105.72,id7,0.056818957,1,,
